label,iou,gt_text,captured_text,text_cer,text_wer,capture_rate,page
MainZone-P,0.9983554595187193,"Her Livery is white, and her Garment void of all Ornament, denoting her Freeness without Artifice; her bare Fect, her undergoing all Hardships to serve her Frined. The dry Elm embrac’d, shews that Friendship ought to appeat in Adverfity, as vell as Prosperity.","Her Livery is white, and her Garment void of all Ornament, denoting her Freeness without Artifice; her bare Fect, her undergoing all Hardships to serve her Frined. The dry Elm embrac’d, shews that Friendship ought to appeat in Adverfity, as vell as Prosperity.",0.0,0.0,1.0,page_0022
MainZone-Head,0.9969563646898426,FIG. 9. SAlterezza in persona nata povera civile: lA HAHGHTY BEGGAR.,FIG. 9. SAlterezza in persona nata povera civile: lA HAHGHTY BEGGAR.,0.0,0.0,1.0,page_0022
MainZone-P,0.996775007077672,"The Ivy, denotes Ambition alw’ays climbing higher and higher, spoiling the Walls; the Ambitious sparing neither Country, Religion, nor Counsellours, lo he may become greater than others The Lion, Pride.","The Ivy, denotes Ambition alw’ays climbing higher and higher, spoiling the Walls; the Ambitious sparing neither Country, Religion, nor Counsellours, lo he may become greater than others The Lion, Pride.",0.0,0.0,1.0,page_0022
MainZone-P,0.9959618757497687,"A Virgin all in green, with Ivy Branches, looking as it lhe would leap over a craggy Rock, at the Top of which are Scepters and Crowns, attended by a Lion listing up his Head.","A Virgin all in green, with Ivy Branches, looking as it lhe would leap over a craggy Rock, at the Top of which are Scepters and Crowns, attended by a Lion listing up his Head.",0.0,0.0,1.0,page_0022
MainZone-P,0.9958081823785458,"The red Garment, the Heat of Blood causing Ambitien; the pitiful Petticoat, that the haughty at the Bottom have nothing worthy Elleem. Her Posture shews the tichlish Place she is in, and like to fall into Misery.","The red Garment, the Heat of Blood causing Ambitien; the pitiful Petticoat, that the haughty at the Bottom have nothing worthy Elleem. Her Posture shews the tichlish Place she is in, and like to fall into Misery.",0.0,0.0,1.0,page_0022
MainZone-P,0.9947296982614978,"Young, because Daughter of Geometry, observing all the Measures taught by it; all other Circumstances are specified in Geometry : the Instruments, at her Feet, are us’d in Surveying.","Young, because Daughter of Geometry, observing all the Measures taught by it; all other Circumstances are specified in Geometry : the Instruments, at her Feet, are us’d in Surveying.",0.0,0.0,1.0,page_0022
MainZone-P,0.9942848714358119,"She wears a plain white Robe, her left Shoulder is nakcd, with a Garland. Che holds a Heart in her right Hand, delights to go barefoot, and grasps a wither'd Elm incircled with a Vinc.","She wears a plain white Robe, her left Shoulder is nakcd, with a Garland. Che holds a Heart in her right Hand, delights to go barefoot, and grasps a wither'd Elm incircled with a Vinc.",0.0,0.0,1.0,page_0022
MainZone-Head,0.9926053954405414,FIG. 10. Altimetria : TARING A HEIGHT GEOMETRICALLI.,FIG. 10. Altimetria : TARING A HEIGHT GEOMETRICALLI.,0.0,0.0,1.0,page_0022
MainZone-Head,0.9920299933622941,FIC. 12. Amicita : FRIENDSHIP.,FIC. 12. Amicita : FRIENDSHIP.,0.0,0.0,1.0,page_0022
MainZone-P,0.9918730167582279,"A voung Lady in a proper Posture, holds with both her Hands a Gcometrical Quadran, taking the Height of a Tower.","A voung Lady in a proper Posture, holds with both her Hands a Gcometrical Quadran, taking the Height of a Tower.",0.0,0.0,1.0,page_0022
MainZone-Head,0.9893539950671049,Soral Cmblems.,Soral Cmblems.,0.0,0.0,1.0,page_0022
MainZone-Head,0.9853323925094083,FIC. 11. Ambitione : AMBITION.,FIC. 11. Ambitione : AMBITION.,0.0,0.0,1.0,page_0022
GraphicZone,0.9994883842229876,,,0.0,0.0,1.0,page_0023
GraphicZone,0.9993392582856797,Imbition 12. Amity F6,Imbition 12. Amity F6,0.0,0.0,1.0,page_0023
GraphicZone,0.9992275928788823,,,0.0,0.0,1.0,page_0023
GraphicZone,0.9986794619960111,,,0.0,0.0,1.0,page_0023
GraphicZone,0.9986479252654611,,,0.0,0.0,1.0,page_0023
GraphicZone-Decoration,0.9985713460238937,"""","""",0.0,0.0,1.0,page_0023
GraphicZone-Decoration,0.99812230871889,3,3,0.0,0.0,1.0,page_0023
GraphicZone,0.9981151447387089,,,0.0,0.0,1.0,page_0023
NumberingZone,0.9928184894635079,,,0.0,0.0,1.0,page_0023
NumberingZone,0.9846637554822113,,,0.0,0.0,1.0,page_0023
NumberingZone,0.9824199291092982,,,0.0,0.0,1.0,page_0023
NumberingZone,0.9720362599528087,1I,1I,0.0,0.0,1.0,page_0023
MainZone-P,0.9992965165069276,"A naked Youth, wing’d, with four Garlands of Laurel; one on his Head, and three others in his Hands; because that of Virtue surpasses all other Loves.","A naked Youth, wing’d, with four Garlands of Laurel; one on his Head, and three others in his Hands; because that of Virtue surpasses all other Loves.",0.0,0.0,1.0,page_0024
MainZone-P,0.9986186990795163,"The two last things declare that Time and Poverty are the most capable to extinguish Love; for this Bird is said to be so very weak, that she is not able to build hersclf a Nest, but harches in somc Nest of other Birds.","The two last things declare that Time and Poverty are the most capable to extinguish Love; for this Bird is said to be so very weak, that she is not able to build hersclf a Nest, but harches in somc Nest of other Birds.",0.0,0.0,1.0,page_0024
MainZone-P,0.9985060410049607,"The Laurel-Garlands signifies the Honour due to Virtue, and that the Love of it is incorruptible, and never fading.","The Laurel-Garlands signifies the Honour due to Virtue, and that the Love of it is incorruptible, and never fading.",0.0,0.0,1.0,page_0024
MainZone-P,0.9980904309888177,"The long Robe shews continual Business. The Glass intimates that our Actions should be accommodated to those of other Men, to render ’em praiseworthy; as the Motto declares, which advises to cast an Eye upon our own Faults, so that finding Blemishes in ourselves, we may endeavour to clear ourselves of ’em.","The long Robe shews continual Business. The Glass intimates that our Actions should be accommodated to those of other Men, to render ’em praiseworthy; as the Motto declares, which advises to cast an Eye upon our own Faults, so that finding Blemishes in ourselves, we may endeavour to clear ourselves of ’em.",0.0,0.0,1.0,page_0024
MainZone-P,0.9959533276367607,"A Man of a venerable Aspect, in a long Robe, with a Miroir in his Hand, surrounded with a Scrowl with these Words, INSPICE, CAUIUS ERIS.","A Man of a venerable Aspect, in a long Robe, with a Miroir in his Hand, surrounded with a Scrowl with these Words, INSPICE, CAUIUS ERIS.",0.0,0.0,1.0,page_0024
MainZone-P,0.9957115349832918,"A Cupid sitting, his Flambeau being burnt out, he tramples on his Bow and Arrows, an Hour-Glass in his right Hand, and in his left a Didapper almost pin’d to Death.","A Cupid sitting, his Flambeau being burnt out, he tramples on his Bow and Arrows, an Hour-Glass in his right Hand, and in his left a Didapper almost pin’d to Death.",0.0,0.0,1.0,page_0024
MainZone-P,0.995504072558254,"His plain Dress shews that he is a mortal Enemy to Luxury ; his looking up, that his Contemplations are divine; his Breast open, that he speaks what he thinks.","His plain Dress shews that he is a mortal Enemy to Luxury ; his looking up, that his Contemplations are divine; his Breast open, that he speaks what he thinks.",0.0,0.0,1.0,page_0024
MainZone-P,0.9944418533095392,"A Man in a reverend Posture, and plain Dress, with his Face lifted up to Heaven, which he points at with his left Hand, and with his right shews his Breast open.","A Man in a reverend Posture, and plain Dress, with his Face lifted up to Heaven, which he points at with his left Hand, and with his right shews his Breast open.",0.0,0.0,1.0,page_0024
MainZone-Head,0.9937668835582022,FIG. 14. Amor di Virtu : LOVEOFVIRTHE.,FIG. 14. Amor di Virtu : LOVEOFVIRTHE.,0.0,0.0,1.0,page_0024
MainZone-Head,0.9937360470747947,Sozal Emblems.,Sozal Emblems.,0.0,0.0,1.0,page_0024
MainZone-Head,0.9909992135156913,FIC. 15. Amore verso Iddio: SERAPHIC LOVE.,FIC. 15. Amore verso Iddio: SERAPHIC LOVE.,0.0,0.0,1.0,page_0024
MainZone-P,0.9888493872220709,,,0.0,0.0,1.0,page_0024
MainZone-P,0.9882518173988136,,,0.0,0.0,1.0,page_0024
MainZone-P,0.9858745191909959,FIC. 13. Ammaestrammento : INSTRHCTION.,FIC. 13. Ammaestrammento : INSTRHCTION.,0.0,0.0,1.0,page_0024
MainZone-Head,0.9854576369641813,"FIC. 16. Amor domato: LOVE TAMED,","FIC. 16. Amor domato: LOVE TAMED,",0.0,0.0,1.0,page_0024
NumberingZone,0.9810265524184093,7,7,0.0,0.0,1.0,page_0024
GraphicZone,0.9995369744824654,Seraphic' Lay 16. Love Tam,Seraphic' Lay 16. Love Tam,0.0,0.0,1.0,page_0025
GraphicZone-Decoration,0.9992356521105409,,,0.0,0.0,1.0,page_0025
GraphicZone,0.9990371735114051,,,0.0,0.0,1.0,page_0025
GraphicZone,0.9989792313831212,,,0.0,0.0,1.0,page_0025
GraphicZone-Decoration,0.9986740035749507,,,0.0,0.0,1.0,page_0025
GraphicZone,0.9986736160092133,,,0.0,0.0,1.0,page_0025
GraphicZone-Decoration,0.9982170232865405,,,0.0,0.0,1.0,page_0025
GraphicZone-Decoration,0.9978924164113083,,,0.0,0.0,1.0,page_0025
NumberingZone,0.9759665423727596,,,0.0,0.0,1.0,page_0025
NumberingZone,0.9731214905585227,,,0.0,0.0,1.0,page_0025
NumberingZone,0.9665583748715408,,,0.0,0.0,1.0,page_0025
MainZone-P,0.9989436523232308,"Lovely she is because form’d by the Creator, Fountain of all Beauty, according to his omn Image. Her Veil denotes her invisible to human Eyes. She is the substantial Form of the Body, only discernable by exteriour Actions. Her Garment, her Purity and Perfection; the Star, the Immortality of the Soul. Her Wings denote her Celerity in spiritual Functions.","Lovely she is because form’d by the Creator, Fountain of all Beauty, according to his omn Image. Her Veil denotes her invisible to human Eyes. She is the substantial Form of the Body, only discernable by exteriour Actions. Her Garment, her Purity and Perfection; the Star, the Immortality of the Soul. Her Wings denote her Celerity in spiritual Functions.",0.0,0.0,1.0,page_0026
MainZone-P,0.9987365918021407,"A Child mounted on a Dolphin is a true Emblem of an affable courteous Disposition; because the Dolphin loves and caresses a Man out of meer Instinct, rather than Interest or sinister Design; as several ancient Histories inform us.","A Child mounted on a Dolphin is a true Emblem of an affable courteous Disposition; because the Dolphin loves and caresses a Man out of meer Instinct, rather than Interest or sinister Design; as several ancient Histories inform us.",0.0,0.0,1.0,page_0026
MainZone-Head,0.9984878968058464,FIG. 18. Amor della Patria : LOVE Of OuR COUNTRI.,FIG. 18. Amor della Patria : LOVE Of OuR COUNTRI.,0.0,0.0,1.0,page_0026
MainZone-P,0.9979751520714049,"He is vouthful, because his Strength increases with his Years, (whereas with all other Loves it is quite contrary.) The Crown of Grass denotes Honour, for it was given to some for delivering their Country, and the Oaken one for saving a Life: The Precipice, that a publick-spirited Man apprehends no Danger for the Love of his Country.","He is vouthful, because his Strength increases with his Years, (whereas with all other Loves it is quite contrary.) The Crown of Grass denotes Honour, for it was given to some for delivering their Country, and the Oaken one for saving a Life: The Precipice, that a publick-spirited Man apprehends no Danger for the Love of his Country.",0.0,0.0,1.0,page_0026
MainZone-P,0.9978279111070859,"Youtli denotes her Aptness to apprehend and learn, middle Stature, denotes the same; for the upper Rooms are always worst furnish’d, spoken of a very Tall person: White, because it is the Ground of all Colour; on tiptoe, shews the Readiness she is in to learn and understand; the Glass because she imprints on herself, and makes all she hears and sees her own.","Youtli denotes her Aptness to apprehend and learn, middle Stature, denotes the same; for the upper Rooms are always worst furnish’d, spoken of a very Tall person: White, because it is the Ground of all Colour; on tiptoe, shews the Readiness she is in to learn and understand; the Glass because she imprints on herself, and makes all she hears and sees her own.",0.0,0.0,1.0,page_0026
MainZone-P,0.9971113607626771,"A lovely Damsel, her Face cover’d with a transparent Veil, her Garment is bright and dazling; Wings on her Shoulders, and over her Head a Star.","A lovely Damsel, her Face cover’d with a transparent Veil, her Garment is bright and dazling; Wings on her Shoulders, and over her Head a Star.",0.0,0.0,1.0,page_0026
MainZone-P,0.9965501597886106,"A vigorous young W’arriour, standing upright, amidst Flame and Smoak, on which he looks with a resolute Countenance; carries a Crown in cach Hand, and being just upon the brink of a Precipice, yet marches courageously over Spears, and tramples upon naked Swords.","A vigorous young W’arriour, standing upright, amidst Flame and Smoak, on which he looks with a resolute Countenance; carries a Crown in cach Hand, and being just upon the brink of a Precipice, yet marches courageously over Spears, and tramples upon naked Swords.",0.0,0.0,1.0,page_0026
MainZone-P,0.9965263183283979,,,0.0,0.0,1.0,page_0026
MainZone-P,0.9963195541621886,"A young Lady of a middle Stature, all in white, brisk and active, dispos’d to listen to another speaking; a Camelion in one Hand, and a Miroir in the other.","A young Lady of a middle Stature, all in white, brisk and active, dispos’d to listen to another speaking; a Camelion in one Hand, and a Miroir in the other.",0.0,0.0,1.0,page_0026
MainZone-Head,0.9940515486548964,"FIC. 20. SAnimo piacevole, trattabile, & amorevole: 'A GENTLE DISPOSITION","FIC. 20. SAnimo piacevole, trattabile, & amorevole: 'A GENTLE DISPOSITION",0.0,0.0,1.0,page_0026
MainZone-Head,0.9931047448386748,"FIC. 17. Anima ragionevole, e beata: A RATIONAL SOuL.","FIC. 17. Anima ragionevole, e beata: A RATIONAL SOuL.",0.0,0.0,1.0,page_0026
MainZone-Head,0.9929929897096083,O9orat Emblenis.,O9orat Emblenis.,0.0,0.0,1.0,page_0026
MainZone-P,0.9900352036240135,,,0.0,0.0,1.0,page_0026
MainZone-Head,0.9859943714807232,FIG. 19. Apprehensiva: APPREHENSION.,FIG. 19. Apprehensiva: APPREHENSION.,0.0,0.0,1.0,page_0026
NumberingZone,0.9793123476357104,,,0.0,0.0,1.0,page_0026
GraphicZone,0.9992689289669996,,,0.0,0.0,1.0,page_0027
GraphicZone,0.9991127473296966,Ratignal 3 prehentio g of Onies disposit,Ratignal 3 prehentio g of Onies disposit,0.0,0.0,1.0,page_0027
GraphicZone,0.9987338141851734,,,0.0,0.0,1.0,page_0027
GraphicZone-Decoration,0.9986048456837779,,,0.0,0.0,1.0,page_0027
GraphicZone,0.9984071103725217,,,0.0,0.0,1.0,page_0027
GraphicZone,0.9976686512783844,,,0.0,0.0,1.0,page_0027
NumberingZone,0.9852265331959001,,,0.0,0.0,1.0,page_0027
NumberingZone,0.9848540238584865,,,0.0,0.0,1.0,page_0027
NumberingZone,0.9744796264855078,,,0.0,0.0,1.0,page_0027
NumberingZone,0.9732409702831837,,,0.0,0.0,1.0,page_0027
NumberingZone,0.9706113934243086,,,0.0,0.0,1.0,page_0027
NumberingZone,0.9634649660584202,,,0.0,0.0,1.0,page_0027
NumberingZone,0.9617754048964192,,,0.0,0.0,1.0,page_0027
NumberingZone,0.9574841876596295,,,0.0,0.0,1.0,page_0027
MainZone-P,0.9987883497511657,"The parti-colour'd Vedments denote the Understanding of divers Contrivances in this Art. The golden Chain and Diamond, denote Durability, and Excellency; fer Fortification is the best Jewel of Princes, securing them from Encmies. The Swallow is remarkable for the artificial building her Nest.","The parti-colour'd Vedments denote the Understanding of divers Contrivances in this Art. The golden Chain and Diamond, denote Durability, and Excellency; fer Fortification is the best Jewel of Princes, securing them from Encmies. The Swallow is remarkable for the artificial building her Nest.",0.0,0.0,1.0,page_0028
MainZone-P,0.9984951002595261,"A Lady in her prime, in a splendid Habit, sitting majestically in a sumptuous Chair, a Crown of Gold on her Head, holds in her right Hand a Bundle of Rods bound together, and a Garland of Laurel; and, in her left, a Head piece; on her right Side is a Bason, and a Purse full of Gold and precious Jewels, and on her left an Ax.","A Lady in her prime, in a splendid Habit, sitting majestically in a sumptuous Chair, a Crown of Gold on her Head, holds in her right Hand a Bundle of Rods bound together, and a Garland of Laurel; and, in her left, a Head piece; on her right Side is a Bason, and a Purse full of Gold and precious Jewels, and on her left an Ax.",0.0,0.0,1.0,page_0028
MainZone-P,0.9977270310147348,,,0.0,0.0,1.0,page_0028
MainZone-P,0.9976783715047524,"A beautiful Lady, her Garment is of different Colours, with various musical Notes, and in the Skirts is written PAR & IMPAR, Even and Odd, and in her left Hand the Numer ation-Table.","A beautiful Lady, her Garment is of different Colours, with various musical Notes, and in the Skirts is written PAR & IMPAR, Even and Odd, and in her left Hand the Numer ation-Table.",0.0,0.0,1.0,page_0028
MainZone-Head,0.9975810027158974,"FIG. 22. Ardire magnanimo, & generoso: MAGNANIMIII.","FIG. 22. Ardire magnanimo, & generoso: MAGNANIMIII.",0.0,0.0,1.0,page_0028
MainZone-P,0.9974087217949954,"Her Handsomness denotes the Beauty of all Things results from Her, for God made all Things in Number, Weight and Measure. Her perfect Age, shews the Perfection of this Art. The various Colours shew that she gives Principles to all Parts of Mathematics.","Her Handsomness denotes the Beauty of all Things results from Her, for God made all Things in Number, Weight and Measure. Her perfect Age, shews the Perfection of this Art. The various Colours shew that she gives Principles to all Parts of Mathematics.",0.0,0.0,1.0,page_0028
MainZone-P,0.9971459869469407,"A young Man of a healthy, robust Stature, with a lofty Aspect, holding with his right Arm, briskly, the Tongue of a Lion, which he presscs with his Knec.","A young Man of a healthy, robust Stature, with a lofty Aspect, holding with his right Arm, briskly, the Tongue of a Lion, which he presscs with his Knec.",0.0,0.0,1.0,page_0028
MainZone-P,0.9958729661153984,"A Woman of ripe Years, in a noble Garment ot divers Colours; a gold Chain about her Neck, with a Diamond; in one Hand the Mariners Compass, in the other the Description of an hexagon Fortification; a Swallow on her Fist, a Pickax and a Spade at her Fect.","A Woman of ripe Years, in a noble Garment ot divers Colours; a gold Chain about her Neck, with a Diamond; in one Hand the Mariners Compass, in the other the Description of an hexagon Fortification; a Swallow on her Fist, a Pickax and a Spade at her Fect.",0.0,0.0,1.0,page_0028
MainZone-Head,0.994647665884533,FIC 21. Architectura militare : MI LITARY ARCHITECTHRE.,FIC 21. Architectura militare : MI LITARY ARCHITECTHRE.,0.0,0.0,1.0,page_0028
MainZone-P,0.9945391381468625,"Her Age shews her Perfection, and Judgment, to execute whatsoever concerns the Commonwealth. Her Garment and Chair of State, her Nobility and Dignity, in token whereof she wears a Crown of Gold.","Her Age shews her Perfection, and Judgment, to execute whatsoever concerns the Commonwealth. Her Garment and Chair of State, her Nobility and Dignity, in token whereof she wears a Crown of Gold.",0.0,0.0,1.0,page_0028
MainZone-Head,0.9941937570913968,FIG.23. Aristocratia : ARISTOCRACI.,FIG.23. Aristocratia : ARISTOCRACI.,0.0,0.0,1.0,page_0028
MainZone-P,0.9937003204824831,"It alludes to the magnanimous Actien of Lyfimachus, who, to free himself out of the hard Durance of a Prison, begg’d he might be devour’d by a Lion, which he overcame in this manner.","It alludes to the magnanimous Actien of Lyfimachus, who, to free himself out of the hard Durance of a Prison, begg’d he might be devour’d by a Lion, which he overcame in this manner.",0.0,0.0,1.0,page_0028
MainZone-Head,0.9920342500097168,FIG. 24. Atitmetica : ARITHMETIC.,FIG. 24. Atitmetica : ARITHMETIC.,0.0,0.0,1.0,page_0028
MainZone-P,0.9913087858545366,,,0.0,0.0,1.0,page_0028
NumberingZone,0.988561790070513,5,5,0.0,0.0,1.0,page_0028
MainZone-Head,0.9870744832965975,Sorat Emblenis.,Sorat Emblenis.,0.0,0.0,1.0,page_0028
GraphicZone,0.9997456276491303,Aristocra Mrithmetr Irar mn 61,Aristocra Mrithmetr Irar mn 61,0.0,0.0,1.0,page_0029
GraphicZone,0.9991833449413284,,,0.0,0.0,1.0,page_0029
GraphicZone,0.9987816045668358,,,0.0,0.0,1.0,page_0029
GraphicZone-Decoration,0.9986096197249424,,,0.0,0.0,1.0,page_0029
GraphicZone-Decoration,0.99851986975205,,,0.0,0.0,1.0,page_0029
GraphicZone-Decoration,0.9984623147664411,,,0.0,0.0,1.0,page_0029
GraphicZone-Decoration,0.998017424919947,,,0.0,0.0,1.0,page_0029
GraphicZone,0.9977830870514975,,,0.0,0.0,1.0,page_0029
GraphicZone,0.997671180714031,,,0.0,0.0,1.0,page_0029
NumberingZone,0.9902852704949007,,,0.0,0.0,1.0,page_0029
NumberingZone,0.9886316366976116,,,0.0,0.0,1.0,page_0029
NumberingZone,0.9700392893786524,,,0.0,0.0,1.0,page_0029
NumberingZone,0.969037059543643,,,0.0,0.0,1.0,page_0029
NumberingZone,0.9688458771826698,,,0.0,0.0,1.0,page_0029
NumberingZone,0.96703759192026,,,0.0,0.0,1.0,page_0029
MainZone-P,0.9992200394529172,"Arrogance ascribes to itself what is not its own, therefore it has the Fars ot an ass, for this Vice proceeds from Stupidity and Ignorance. The Peacock shews valuing ones self, and despising others.","Arrogance ascribes to itself what is not its own, therefore it has the Fars ot an ass, for this Vice proceeds from Stupidity and Ignorance. The Peacock shews valuing ones self, and despising others.",0.0,0.0,1.0,page_0030
MainZone-P,0.9987727622984851,"The agreable Countenance declares the Charms of Art, attracting all Eyes upon it, and causing the Author to be approv’d and commended. The three snstruments are for intimating Nature: the Stake supplies Nature's Defects, in holding up the tender Plant.","The agreable Countenance declares the Charms of Art, attracting all Eyes upon it, and causing the Author to be approv’d and commended. The three snstruments are for intimating Nature: the Stake supplies Nature's Defects, in holding up the tender Plant.",0.0,0.0,1.0,page_0030
MainZone-P,0.998146296131572,"A beautiful Queen with a Crown on her Head, glittering with precious Stoncs, a Basc-Viol in one Hand, and a Bow, to play with, in the other.","A beautiful Queen with a Crown on her Head, glittering with precious Stoncs, a Basc-Viol in one Hand, and a Bow, to play with, in the other.",0.0,0.0,1.0,page_0030
MainZone-P,0.99779474604659,"He is nobly clothed, because Art is noble of it selt.. His Hand upon the Screw shews that Engines have been contriv’d by Industry; that by them, incredible Things, like the perpetual Motion, have been perform’d. The Hive declares the Industry of the Bees, which, being very inconsiderable, are, nevertheless, great as to their Conduct.","He is nobly clothed, because Art is noble of it selt.. His Hand upon the Screw shews that Engines have been contriv’d by Industry; that by them, incredible Things, like the perpetual Motion, have been perform’d. The Hive declares the Industry of the Bees, which, being very inconsiderable, are, nevertheless, great as to their Conduct.",0.0,0.0,1.0,page_0030
MainZone-P,0.9971035609192739,"A Lady clothed with a green Garment, with Asses Ears, holding under her left Arm a Peacock, and extending the right Arm, points with her Forc-finger.","A Lady clothed with a green Garment, with Asses Ears, holding under her left Arm a Peacock, and extending the right Arm, points with her Forc-finger.",0.0,0.0,1.0,page_0030
MainZone-Head,0.9966326438940546,FIG. 27. Artificio : ARTIFICE.,FIG. 27. Artificio : ARTIFICE.,0.0,0.0,1.0,page_0030
